id,url,reposted,poster,reposts,comments,creat_at,text
'3552490224054793,http://api.t.sina.com.cn/1081934582/statuses/3552490224054793,数据挖掘_PHP,飞马云计算,0,0,2013-03-05 13:58:54,//@童小军_HD: Hadoop视频已经上传到百度网盘,同时视频下载地址已经更新到 EasyHadoop技术大学 页面。 http://t.cn/zY8JjWq
'3552487501489518,http://api.t.sina.com.cn/1921073862/statuses/3552487501489518,数据挖掘_PHP,微热闹,0,0,2013-03-05 13:48:04,//@yongsun: //@机器学习DeepLearning: 想学hadoop的看过来 //@童小军_HD: Hadoop视频已经上传到百度网盘,同时视频下载地址已经更新到 EasyHadoop技术大学 页面。 http://t.cn/zY8JjWq
'3552485949952338,http://api.t.sina.com.cn/1797257061/statuses/3552485949952338,数据挖掘_PHP,zhenxi1900,0,0,2013-03-05 13:41:55,//@肖镜辉_小肖: //@李明辉-baidu: //@ITNLP: //@徐君_: //@任勇_博士僧:m //@算文解字://@童小军_HD: Hadoop视频已经上传到百度网盘,同时视频下载地址已经更新到 EasyHadoop技术大学 页面。 http://t.cn/zY8JjWq
'3552483756185844,http://api.t.sina.com.cn/2013305835/statuses/3552483756185844,数据挖掘_PHP,skyline_lb,0,0,2013-03-05 13:33:12,//@孙毅_sam: mark~//@SaintAK: //@大数据皮东: 学习Hadoop的入门教材，感谢分享！ //@童小军_HD:Hadoop视频已经上传到百度网盘,同时视频下载地址已经更新到 EasyHadoop技术大学 页面。 http://t.cn/zY8JjWq
'3552483366297724,http://api.t.sina.com.cn/1756477081/statuses/3552483366297724,数据挖掘_PHP,BenLin_EYD,0,0,2013-03-05 13:31:38,//@SaintAK://@大数据皮东: 学习Hadoop的入门教材，感谢分享！ //@童小军_HD:Hadoop视频已经上传到百度网盘,同时视频下载地址已经更新到 EasyHadoop技术大学 页面。 http://t.cn/zY8JjWq
'3552482921446395,http://api.t.sina.com.cn/1414633972/statuses/3552482921446395,数据挖掘_PHP,长嗷嗷嗷,0,0,2013-03-05 13:29:52,//@吕凯进: //@同同爸://@童小军_HD: Hadoop视频已经上传到百度网盘,同时视频下载地址已经更新到 EasyHadoop技术大学 页面。 http://t.cn/zY8JjWq
'3552482427162128,http://api.t.sina.com.cn/1547417805/statuses/3552482427162128,数据挖掘_PHP,平八_万平,0,0,2013-03-05 13:27:54,//@数据挖掘_PHP: 功德无量，谢！//@Cloga在路上: //@卢二_UX:这个不支持，更待何时。[good]//@童小军_HD:Hadoop视频已经上传到百度网盘,同时视频下载地址已经更新到 EasyHadoop技术大学 页面。 http://t.cn/zY8JjWq
'3552480967569769,http://api.t.sina.com.cn/2039585891/statuses/3552480967569769,数据挖掘_PHP,_zhaorui_,0,0,2013-03-05 13:22:07,[good] //@大数据皮东:学习Hadoop的入门教材，感谢分享！ //@童小军_HD:Hadoop视频已经上传到百度网盘,同时视频下载地址已经更新到 EasyHadoop技术大学 页面。 http://t.cn/zY8JjWq
'3552480472226232,http://api.t.sina.com.cn/2008417905/statuses/3552480472226232,数据挖掘_PHP,Tandy小猪,0,0,2013-03-05 13:20:10,转起。。。 //@大数据皮东: 学习Hadoop的入门教材，感谢分享！ //@童小军_HD:Hadoop视频已经上传到百度网盘,同时视频下载地址已经更新到 EasyHadoop技术大学 页面。 http://t.cn/zY8JjWq
'3552480241309788,http://api.t.sina.com.cn/1657336777/statuses/3552480241309788,数据挖掘_PHP,yuerxin,0,0,2013-03-05 13:19:12,//@孙毅_sam:mark~//@SaintAK: //@大数据皮东: 学习Hadoop的入门教材，感谢分享！ //@童小军_HD:Hadoop视频已经上传到百度网盘,同时视频下载地址已经更新到 EasyHadoop技术大学 页面。 http://t.cn/zY8JjWq
'3552479843021860,http://api.t.sina.com.cn/1405519853/statuses/3552479843021860,数据挖掘_PHP,刘子兮,0,0,2013-03-05 13:17:38,//@孙毅_sam: mark~//@SaintAK: //@大数据皮东: 学习Hadoop的入门教材，感谢分享！ //@童小军_HD:Hadoop视频已经上传到百度网盘,同时视频下载地址已经更新到 EasyHadoop技术大学 页面。 http://t.cn/zY8JjWq
'3552479754726230,http://api.t.sina.com.cn/1614634362/statuses/3552479754726230,数据挖掘_PHP,孙毅_sam,3,0,2013-03-05 13:17:17,mark~//@SaintAK: //@大数据皮东: 学习Hadoop的入门教材，感谢分享！ //@童小军_HD:Hadoop视频已经上传到百度网盘,同时视频下载地址已经更新到 EasyHadoop技术大学 页面。 http://t.cn/zY8JjWq
'3552479541003851,http://api.t.sina.com.cn/1981804431/statuses/3552479541003851,数据挖掘_PHP,铁才,0,0,2013-03-05 13:16:27,//@__那谁__: //@大数据皮东:学习Hadoop的入门教材，感谢分享！ //@童小军_HD:Hadoop视频已经上传到百度网盘,同时视频下载地址已经更新到 EasyHadoop技术大学 页面。 http://t.cn/zY8JjWq
'3552479427540542,http://api.t.sina.com.cn/2099954333/statuses/3552479427540542,数据挖掘_PHP,colorful邵,0,2,2013-03-05 13:16:00,//@JunJieLi: //@王金龙VI: @mark //@数据挖掘_PHP:功德无量，谢！//@Cloga在路上: //@卢二_UX:这个不支持，更待何时。[good]//@童小军_HD:Hadoop视频已经上传到百度网盘,同时视频下载地址已经更新到 EasyHadoop技术大学 页面。 http://t.cn/zY8JjWq
'3552478223663333,http://api.t.sina.com.cn/1563496144/statuses/3552478223663333,数据挖掘_PHP,Y_owen,0,0,2013-03-05 13:11:12,//@大数据皮东: 学习Hadoop的入门教材，感谢分享！ //@童小军_HD:Hadoop视频已经上传到百度网盘,同时视频下载地址已经更新到 EasyHadoop技术大学 页面。 http://t.cn/zY8JjWq
'3552477808851906,http://api.t.sina.com.cn/1927498223/statuses/3552477808851906,数据挖掘_PHP,TaoXie谢小涛,0,0,2013-03-05 13:09:33, //@大数据皮东: 学习Hadoop的入门教材，感谢分享！ //@童小军_HD:Hadoop视频已经上传到百度网盘,同时视频下载地址已经更新到 EasyHadoop技术大学 页面。 http://t.cn/zY8JjWq
'3552477137498047,http://api.t.sina.com.cn/1404728061/statuses/3552477137498047,数据挖掘_PHP,SaintAK,2,0,2013-03-05 13:06:53,//@大数据皮东: 学习Hadoop的入门教材，感谢分享！ //@童小军_HD:Hadoop视频已经上传到百度网盘,同时视频下载地址已经更新到 EasyHadoop技术大学 页面。 http://t.cn/zY8JjWq
'3552476952931521,http://api.t.sina.com.cn/1642628345/statuses/3552476952931521,数据挖掘_PHP,__那谁__,1,0,2013-03-05 13:06:10,//@大数据皮东:学习Hadoop的入门教材，感谢分享！ //@童小军_HD:Hadoop视频已经上传到百度网盘,同时视频下载地址已经更新到 EasyHadoop技术大学 页面。 http://t.cn/zY8JjWq
'3552475317449823,http://api.t.sina.com.cn/1940667384/statuses/3552475317449823,数据挖掘_PHP,流年海岸,0,0,2013-03-05 12:59:40,mark
'3552474943925138,http://api.t.sina.com.cn/1560031712/statuses/3552474943925138,数据挖掘_PHP,卜浪Brown,0,0,2013-03-05 12:58:11,//@大数据皮东: 学习Hadoop的入门教材，感谢分享！ //@童小军_HD:Hadoop视频已经上传到百度网盘,同时视频下载地址已经更新到 EasyHadoop技术大学 页面。 http://t.cn/zY8JjWq
'3552474919371008,http://api.t.sina.com.cn/1844459530/statuses/3552474919371008,数据挖掘_PHP,维Ta命D,0,0,2013-03-05 12:58:04,//@大数据皮东:学习Hadoop的入门教材，感谢分享！ //@童小军_HD:Hadoop视频已经上传到百度网盘,同时视频下载地址已经更新到 EasyHadoop技术大学 页面。 http://t.cn/zY8JjWq
'3552474537038272,http://api.t.sina.com.cn/1978270113/statuses/3552474537038272,数据挖掘_PHP,大数据皮东,9,1,2013-03-05 12:56:33,学习Hadoop的入门教材，感谢分享！ //@童小军_HD:Hadoop视频已经上传到百度网盘,同时视频下载地址已经更新到 EasyHadoop技术大学 页面。 http://t.cn/zY8JjWq
'3552473744712607,http://api.t.sina.com.cn/1866810597/statuses/3552473744712607,数据挖掘_PHP,小浩生活家,0,0,2013-03-05 12:53:23,//@数据挖掘_PHP: 功德无量，谢！//@Cloga在路上: //@卢二_UX:这个不支持，更待何时。[good]//@童小军_HD:Hadoop视频已经上传到百度网盘,同时视频下载地址已经更新到 EasyHadoop技术大学 页面。 http://t.cn/zY8JjWq
'3552471236066275,http://api.t.sina.com.cn/2712208704/statuses/3552471236066275,数据挖掘_PHP,wangluowanglei,0,1,2013-03-05 12:43:27,//@中国云计算论坛: 谢谢！好东西，不容错过！@云创存储 @专注云计算
'3552471030525160,http://api.t.sina.com.cn/1297365972/statuses/3552471030525160,数据挖掘_PHP,莫小靡,0,0,2013-03-05 12:42:37,必须UP!//@数据挖掘_PHP: 功德无量，谢！//@Cloga在路上: //@卢二_UX:这个不支持，更待何时。[good]//@童小军_HD:Hadoop视频已经上传到百度网盘,同时视频下载地址已经更新到 EasyHadoop技术大学 页面。 http://t.cn/zY8JjWq
'3552470829179490,http://api.t.sina.com.cn/1807036613/statuses/3552470829179490,数据挖掘_PHP,淘方华,0,0,2013-03-05 12:41:50, //@数据挖掘_PHP:功德无量，谢！//@Cloga在路上: //@卢二_UX:这个不支持，更待何时。[good]//@童小军_HD:Hadoop视频已经上传到百度网盘,同时视频下载地址已经更新到 EasyHadoop技术大学 页面。 http://t.cn/zY8JjWq
'3552470062572327,http://api.t.sina.com.cn/2520748934/statuses/3552470062572327,数据挖掘_PHP,MEL卢,0,0,2013-03-05 12:38:46,非常有用的资料[good] //@小索菲亚: @MEL卢  //@童小军_HD:Hadoop视频已经上传到百度网盘,同时视频下载地址已经更新到 EasyHadoop技术大学 页面。 http://t.cn/zY8JjWq
'3552468011467813,http://api.t.sina.com.cn/2054628534/statuses/3552468011467813,数据挖掘_PHP,吕凯进,1,0,2013-03-05 12:30:37,//@同同爸://@童小军_HD: Hadoop视频已经上传到百度网盘,同时视频下载地址已经更新到 EasyHadoop技术大学 页面。 http://t.cn/zY8JjWq
'3552466236516451,http://api.t.sina.com.cn/1813812112/statuses/3552466236516451,数据挖掘_PHP,原是梦,0,0,2013-03-05 12:23:35,//@vinW: 推荐收藏 //@童小军_HD: Hadoop视频已经上传到百度网盘,同时视频下载地址已经更新到 EasyHadoop技术大学 页面。 http://t.cn/zY8JjWq
